,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
116147,2023-10-08 08:00:00 EDT,98.12,99.49,23,14,100,7.2,7.3,ERROR,24100,8,22,7.5,7,5.16E-16,8.98E-02,3.70E-16,1.10E-01
116207,2023-10-08 09:00:00 EDT,98.1,99.47,23,13,99,7.9,8.1,ERROR,24100,8,89,8.1,7.2,7.76E-16,7.27E-02,,
116267,2023-10-08 10:00:00 EDT,98.05,99.42,23,18,95,8.8,9.5,ERROR,24100,8,362,9.5,8.1,1.57E-15,5.25E-02,,
116327,2023-10-08 11:00:00 EDT,97.99,99.36,22,23,85,8.2,10.6,ERROR,24100,7,768,10.6,8.7,8.06E-16,1.06E-01,,
116387,2023-10-08 12:00:00 EDT,97.98,99.35,24,28,66,5.7,11.7,ERROR,24100,7,612,11.9,10.6,1.43E-15,6.77E-02,,
116447,2023-10-08 13:00:00 EDT,97.95,99.32,21,25,71,6.3,11.4,ERROR,24100,7,1356,12.8,11.3,3.61E-16,1.29E-01,,
116507,2023-10-08 14:00:00 EDT,97.96,99.33,21,22,66,5,11,ERROR,24100,7,656,11.9,10.2,8.78E-16,9.64E-02,,
116567,2023-10-08 15:00:00 EDT,97.94,99.31,23,25,59,4.4,12.1,ERROR,24100,7,924,12.2,11.2,2.27E-16,1.51E-01,,
116627,2023-10-08 16:00:00 EDT,97.96,99.33,22,30,68,4.7,10.4,ERROR,24100,7,545,12.2,9.8,9.24E-16,7.47E-02,,
116687,2023-10-08 17:00:00 EDT,98.01,99.38,23,16,85,6.3,8.6,ERROR,24100,8,123,11.7,8.5,7.25E-16,8.07E-02,,
116747,2023-10-08 18:00:00 EDT,98.03,99.4,22,16,73,4.7,9.2,ERROR,24100,8,69,10.4,8.5,1.58E-16,2.02E-01,,
116807,2023-10-08 19:00:00 EDT,98.06,99.44,27,30,93,5.2,6.2,ERROR,9700,8,0,9.4,6.2,1.44E-16,1.95E-01,,
